,survey_info_start_date,survey_info_end_date,survey_info_status,survey_info_ip_address,survey_info_progress,survey_info_duration,survey_info_finished,survey_info_recorded_date,survey_info_response_id,survey_info_last_name,survey_info_first_name,survey_info_email,survey_info_reference,survey_info_latitute,survey_info_longitude,survey_info_dist_channel,survey_info_language,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,inactive_state,inactive_institution_name,inactive_practice_setting,demographic_practice_list,demographic_role_list,demographic_years_in_practice,comments_text,demographic_distribution,quality_ambiguous_text,quality_ambiguous_questions,quality_straightlining_pct,quality_straightlining_questions,quality_unanswered_pct,quality_unanswered_questions,,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size,quality_unanswered_length
34,2023-06-13 21:25:36,2023-06-13 21:29:49,IP Address,75.129.239.166,100,252,True,2023-06-13 21:29:49,R_uaW8pwWcqkRvBDz,,,,,38.6287,-90.1988,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Quite well,Not at a lot of effort,Not very well,Extremely true,Quite true,Sometimes,Almost always,Quite true,Quite confident,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Quite willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Quite willing,Quite motivated,Quite motivated,Extremely motivated,Quite motivated,Slightly motivated,Slightly motivated,Moderately motivated,Moderately motivated,Extremely motivated,,,,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),20,,washu,0,,0,0,,['0.02857142857142857'],QID13,Midwest,7,99,1
35,2023-06-14 04:53:38,2023-06-14 04:57:00,IP Address,174.197.68.178,100,202,True,2023-06-14 04:57:01,R_6LQTpDF99cMnTgZ,,,,,32.7767,-96.805,anonymous,EN,Quite critical,Extremely motivated,Quite a high priority,Extremely well,Slight effort,Slightly well,Extremely true,Quite true,Almost always,Sometimes,Moderately true,Moderately confident,I am already doing this,I am already doing this,Moderately willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Slightly willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Quite motivated,Extremely motivated,Extremely motivated,,,,['Vascular Surgery'],"Department Chair,Program Director (or Assistant Program Director)",30,,lahey,0,,0,0,,['0.02857142857142857'],QID13,Northeast,1,38,1
36,2023-06-14 07:39:59,2023-06-14 07:42:49,IP Address,163.116.144.33,100,170,True,2023-06-14 07:42:49,R_3JsVq4SxhJ7N77Q,,,,,42.3562,-71.0631,anonymous,EN,Not at all critical,Moderately motivated,Not at all a priority,Not very well,Not at a lot of effort,Not very well,Not at all true,Not at all true,Once in a while,Often,Moderately true,Not at all confident,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Breast Surgery', 'Endocrine Surgery', 'Surgical Oncology']",,,,lahey,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",Northeast,1,38,1
37,2023-06-14 12:42:48,2023-06-14 12:46:43,IP Address,163.116.144.39,100,235,True,2023-06-14 12:46:43,R_24AfEtMwZ73MYRj,,,,,42.3562,-71.0631,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Extremely well,Not at a lot of effort,Not very well,Extremely true,Quite true,Often,Sometimes,Extremely true,Extremely true,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,I am already doing this,Extremely willing,Extremely motivated,Quite motivated,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,10,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
43,2023-06-15 08:53:08,2023-06-15 08:57:37,IP Address,152.132.9.3,100,268,True,2023-06-15 08:57:37,R_3Gqcswr53rgE6g6,,,,,38.5753,-90.2651,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Moderately well,Slight effort,Slightly well,Extremely true,Extremely true,Often,Often,Moderately true,Quite confident,Quite willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Moderately motivated,Extremely motivated,Moderately motivated,Quite motivated,Slightly motivated,Moderately motivated,Moderately motivated,Quite motivated,,,,['Colon and Rectal Surgery'],,3,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
44,2023-06-15 09:26:50,2023-06-15 09:29:05,IP Address,128.252.154.2,100,134,True,2023-06-15 09:29:06,R_2PC2kfsNSpHfqT6,,,,,38.6433,-90.2575,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Quite true,Sometimes,Often,Not at all true,Slightly confident,Extremely willing,Extremely willing,Moderately willing,Extremely willing,Quite willing,Quite willing,Extremely willing,Slightly willing,I am already doing this,Not at all willing,Moderately motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,Not at all motivated,Moderately motivated,Moderately motivated,Quite motivated,,,,['Cardiac Surgery'],,1,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
45,2023-06-15 09:39:02,2023-06-15 09:42:04,IP Address,128.252.172.25,100,182,True,2023-06-15 09:42:05,R_7PbnGOA09AbAlMZ,,,,,38.6154,-90.2159,anonymous,EN,Quite critical,Extremely motivated,Quite a high priority,Not very well,Slight effort,Not very well,Quite true,Quite true,Often,Often,Moderately true,Not at all confident,Quite willing,Extremely willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Extremely motivated,Moderately motivated,,,,['Breast Surgery'],Program Director (or Assistant Program Director),17,,washu,0,,0,0,,['0.02857142857142857'],QID13,Midwest,7,99,1
46,2023-06-15 09:42:28,2023-06-15 09:49:03,IP Address,128.252.210.2,100,394,True,2023-06-15 09:49:03,R_239W2TdvkmwwlO3,,,,,38.6433,-90.2575,anonymous,EN,Slightly critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Quite true,Once in a while,Almost always,Moderately true,Moderately confident,Quite willing,Extremely willing,Slightly willing,Slightly willing,I am already doing this,I am already doing this,I am already doing this,Moderately willing,I am already doing this,I am already doing this,Moderately motivated,Moderately motivated,Quite motivated,Slightly motivated,Moderately motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Abdominal Wall/Hernia Surgery'],Program Director (or Assistant Program Director),8,,washu,0,,0,0,,['0.02857142857142857'],QID13,Midwest,7,99,1
47,2023-06-15 09:56:08,2023-06-15 09:58:38,IP Address,128.252.210.3,100,150,True,2023-06-15 09:58:38,R_30eodJes6HCqG3p,,,,,38.6433,-90.2575,anonymous,EN,Quite critical,Moderately motivated,Quite a high priority,Slightly well,Not at a lot of effort,Slightly well,Quite true,Quite true,Sometimes,Often,Slightly true,Quite confident,Moderately willing,Moderately willing,Quite willing,Moderately willing,Quite willing,Quite willing,Quite willing,I am already doing this,I am already doing this,Moderately willing,Slightly motivated,Moderately motivated,Moderately motivated,Not at all motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Trauma Surgery/Critical Care'],,5,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
48,2023-06-15 09:54:58,2023-06-15 09:59:42,IP Address,128.252.154.1,100,283,True,2023-06-15 09:59:42,R_2atzrwARXYyEBaw,,,,,38.6433,-90.2575,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Slightly well,Slight effort,Slightly well,Quite true,Quite true,Once in a while,Once in a while,Slightly true,Slightly confident,Moderately willing,Quite willing,Not at all willing,Moderately willing,Extremely willing,Moderately willing,Moderately willing,Quite willing,Quite willing,Not at all willing,Not at all motivated,Not at all motivated,Not at all motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Moderately motivated,Not at all motivated,,,,['Thoracic Surgery'],,,,washu,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",Midwest,7,99,1
49,2023-06-15 10:03:33,2023-06-15 10:07:27,IP Address,128.252.154.9,100,234,True,2023-06-15 10:07:28,R_shxDQuuusF0Td4J,,,,,38.6433,-90.2575,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Sometimes,Almost never,Not at all true,Not at all confident,Extremely willing,Extremely willing,Slightly willing,Extremely willing,Extremely willing,Slightly willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),,,washu,0,,0,0,,['0.05714285714285714'],"QID13,QID62",Midwest,7,99,1
50,2023-06-15 10:24:06,2023-06-15 10:33:25,IP Address,128.252.210.1,100,558,True,2023-06-15 10:33:26,R_2pLzzV1ZoRrDqEu,,,,,38.6433,-90.2575,anonymous,EN,Extremely critical,Quite motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Quite true,Moderately true,Often,Often,Moderately true,Quite confident,I am already doing this,Moderately willing,Moderately willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Slightly willing,I am unable to do this,Moderately willing,Moderately motivated,Moderately motivated,Quite motivated,Slightly motivated,Quite motivated,Not at all motivated,Moderately motivated,Quite motivated,Moderately motivated,,,,['Trauma Surgery/Critical Care'],,2,very excited to see what comes of this.  OR waste drives me nuts from a cost perspective already and we could help so much with some minimal changes,washu,0,,0,0,,['0.02857142857142857'],QID1,Midwest,7,99,1
51,2023-06-15 10:51:25,2023-06-15 10:56:18,IP Address,159.251.152.33,100,293,True,2023-06-15 10:56:19,R_3P77ogJCsXMLrkG,,,,,38.617,-90.2566,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Extremely true,Once in a while,Sometimes,Slightly true,Moderately confident,I am already doing this,Extremely willing,Quite willing,Quite willing,Extremely willing,Moderately willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Moderately motivated,Moderately motivated,Moderately motivated,Quite motivated,Quite motivated,Slightly motivated,Moderately motivated,Quite motivated,Quite motivated,,,,['Pediatric Surgery'],,20,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
52,2023-06-15 10:52:35,2023-06-15 11:04:44,IP Address,107.77.206.11,100,728,True,2023-06-15 11:04:45,R_ZsNmilpVTREaUEx,,,,,41.8764,-87.6133,anonymous,EN,Slightly critical,Slightly motivated,Low priority,Not very well,Not at a lot of effort,Not very well,Moderately true,Moderately true,Almost always,Often,Extremely true,Not at all confident,Moderately willing,Moderately willing,Quite willing,Quite willing,Quite willing,Quite willing,Extremely willing,I am already doing this,I am already doing this,Slightly willing,Moderately motivated,Not at all motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,,,,['Vascular Surgery'],Program Director (or Assistant Program Director),32,,washu,0,,0,0,,['0.02857142857142857'],QID13,Midwest,7,99,1
53,2023-06-15 11:03:51,2023-06-15 11:06:39,IP Address,128.252.210.1,100,168,True,2023-06-15 11:06:40,R_3GrkOWBpB09cgN4,,,,,38.6433,-90.2575,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Quite true,Sometimes,Sometimes,Moderately true,Moderately confident,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Quite willing,Moderately willing,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,['Trauma Surgery/Critical Care'],,7,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
54,2023-06-15 11:08:49,2023-06-15 11:12:48,IP Address,71.11.114.18,100,239,True,2023-06-15 11:12:49,R_23X2YZ01lZSOLvT,,,,,38.5943,-90.2321,anonymous,EN,Quite critical,Slightly motivated,Moderate priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Moderately true,Sometimes,Often,Quite true,Not at all confident,Quite willing,Moderately willing,Extremely willing,Extremely willing,Slightly willing,Slightly willing,Moderately willing,Slightly willing,Quite willing,Slightly willing,Quite motivated,Slightly motivated,Extremely motivated,Not at all motivated,Moderately motivated,Not at all motivated,Slightly motivated,Not at all motivated,Quite motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),5,,washu,0,,0,0,,['0.02857142857142857'],QID13,Midwest,7,99,1
55,2023-06-15 12:36:28,2023-06-15 12:41:20,IP Address,104.28.76.230,100,291,True,2023-06-15 12:41:20,R_1ITrvE9yk66ybGy,,,,,38.894,-77.0365,anonymous,EN,Slightly critical,Slightly motivated,Low priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Often,Often,Slightly true,Not at all confident,Slightly willing,Slightly willing,Slightly willing,Quite willing,Slightly willing,Not at all willing,Slightly willing,I am already doing this,I am already doing this,Not at all willing,Moderately motivated,Slightly motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Vascular Surgery'],,8,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
56,2023-06-15 13:57:13,2023-06-15 14:00:29,IP Address,128.252.210.2,100,195,True,2023-06-15 14:00:29,R_3dXmj7M29TwPkQE,,,,,38.6433,-90.2575,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Not very well,Slight effort,Slightly well,Quite true,Quite true,Sometimes,Often,Quite true,Quite confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Quite willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Quite motivated,Moderately motivated,Moderately motivated,Moderately motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Endocrine Surgery'],,4,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
57,2023-06-15 15:29:52,2023-06-15 15:35:59,IP Address,172.59.169.78,100,367,True,2023-06-15 15:36:00,R_2DMIj31kHmMcbY8,,,,,38.617,-90.2566,anonymous,EN,Slightly critical,Quite motivated,Moderate priority,Slightly well,Moderate effort,Moderately well,Quite true,Quite true,Once in a while,Often,Not at all true,Moderately confident,I am already doing this,I am already doing this,Extremely willing,Extremely willing,Quite willing,Extremely willing,Quite willing,I am already doing this,I am already doing this,Extremely willing,Moderately motivated,Extremely motivated,Moderately motivated,Extremely motivated,Extremely motivated,Slightly motivated,Moderately motivated,Extremely motivated,Moderately motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,23,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
